IBM
Call: ibm -r -g 4213 
Seed: 123
Date: Fri Nov 02 10:17:32 2018
Version: 2018-11-01 09:04:42 UTC (rev. aebc669)
Environment: machine:DESKTOP-D3MBM6L, user:Dell User, os:Windows_NT, pid:8288

*initialisation_partition[init_1]
ewuilibrium_shortcut: 1969
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1-1 1699 1446 1225 1075 967 828 708 617 551 428 359 350 292 254 196 206 161 136 115 76 695
1-2 1573 1393 1223 1025 888 773 633 583 494 421 359 302 278 206 212 195 148 138 98 83 632
1-3 1232 1149 943 889 738 629 534 480 423 351 301 270 236 179 155 150 121 108 94 94 526
1-4 494 432 377 306 297 257 224 167 149 144 120 108 75 78 70 40 42 48 36 29 216
1-5 378 379 313 268 245 210 168 150 156 125 96 95 60 61 55 39 34 34 32 30 172
1-6 121 96 88 73 75 54 48 45 34 39 23 15 22 27 15 16 12 4 13 9 40
1-7 84 52 67 50 47 44 35 24 23 23 16 14 14 14 8 7 3 5 5 2 30
1-8 39 47 52 42 20 21 18 23 12 18 16 10 11 6 4 5 4 1 4 3 24
1-9 42 34 34 18 20 18 14 7 13 17 9 6 11 7 4 3 5 3 4 1 17
1-10 24 14 28 20 15 12 14 9 11 9 5 5 4 4 7 5 3 5 2 2 11
2-1 1243 1076 911 777 678 549 504 452 366 316 275 220 191 153 152 131 112 95 83 70 467
2-2 2407 2108 1848 1614 1373 1218 1023 898 775 655 570 483 419 378 305 259 233 195 181 135 1024
2-3 1318 1177 979 853 732 598 559 477 386 320 302 258 214 191 159 138 142 106 81 67 527
2-4 735 631 618 474 416 365 324 278 240 193 171 155 132 124 109 72 79 53 50 39 326
2-5 606 593 480 383 361 287 264 235 173 172 156 124 99 90 81 69 77 48 39 39 255
2-6 220 171 142 146 118 106 69 74 72 55 39 29 40 25 26 17 21 19 11 14 84
2-7 118 109 89 72 65 61 42 47 41 29 26 22 22 20 25 9 11 9 6 7 48
2-8 76 52 62 46 36 31 24 21 18 14 15 14 9 10 9 10 5 7 3 6 27
2-9 29 47 31 33 22 23 25 22 14 14 4 6 7 6 3 7 3 4 1 0 22
2-10 31 37 28 22 9 22 20 15 7 9 7 4 5 5 4 5 2 2 1 3 14
3-1 1305 1064 1024 782 692 596 536 425 378 348 323 244 218 159 169 143 125 88 94 86 511
3-2 2243 1912 1590 1444 1171 999 883 829 669 587 505 391 364 356 276 237 188 164 147 135 848
3-3 1051 860 748 641 597 523 428 376 306 282 212 184 178 152 120 117 113 92 77 59 404
3-4 777 704 609 543 458 398 391 285 216 217 181 160 163 134 104 72 77 65 55 44 362
3-5 618 521 463 391 322 281 255 234 195 176 137 124 121 91 77 57 57 49 44 38 251
3-6 206 168 133 137 116 96 79 56 49 52 45 35 32 28 27 24 12 16 12 10 63
3-7 114 95 89 84 69 46 44 44 32 32 26 24 21 15 19 12 12 9 14 4 39
3-8 77 68 49 47 32 37 30 30 21 23 9 11 16 8 14 8 2 4 5 6 28
3-9 57 34 43 29 19 15 18 14 11 15 4 9 7 7 6 4 6 5 5 2 22
3-10 30 32 25 17 20 19 11 13 8 6 11 4 3 3 2 3 4 3 5 2 9
4-1 1593 1381 1180 1011 895 714 638 577 491 403 366 282 275 230 192 169 115 140 102 94 653
4-2 1685 1358 1160 1064 912 747 697 551 459 398 364 315 258 227 215 175 124 140 114 97 655
4-3 1249 1100 956 779 685 612 550 495 391 342 276 246 232 195 166 121 113 106 82 79 515
4-4 927 830 714 617 557 469 400 348 244 264 199 165 152 155 111 106 91 83 57 70 382
4-5 660 572 554 437 342 349 269 215 213 183 150 117 105 107 81 64 64 53 50 38 282
4-6 195 161 150 100 101 97 90 69 57 55 48 27 30 32 23 20 16 13 14 7 81
4-7 122 89 74 68 53 53 45 30 20 34 14 20 21 15 16 14 15 8 5 6 41
4-8 72 55 72 50 40 47 33 27 14 21 12 13 17 8 12 3 9 4 2 6 34
4-9 53 41 31 35 24 25 19 21 15 9 8 7 10 2 7 12 4 3 1 3 17
4-10 39 23 24 22 13 12 19 13 11 3 10 6 7 9 1 3 2 2 3 3 20
5-1 1821 1602 1281 1123 968 832 709 614 560 440 373 361 321 274 236 191 162 117 126 106 740
