IBM
Call: ibm -r 
Seed: 123
Date: Thu Oct 31 14:18:39 2019
Version: 2019-10-07 02:58:21 UTC (rev. 2006f9b)
Environment: machine:DESKTOP-D3MBM6L, user:Dell User, os:Windows_NT, pid:14088

*initialisation_partition[init_1]
equilibrium_shortcut: 1949
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
4-5 249534 220677 196259 165442 142330 125093 106421 91143.1 75604.3 64374.6 54973 47791.2 40870.6 34341.6 30293.8 25593 21545.2 19064.2 15669.2 13580 97541.5
4-6 73515.1 59151.5 59412.6 42437.5 41001.1 35647.4 29902 24940.1 18541.9 19586.5 18541.9 12013.1 15669.2 11490.8 9401.52 7442.87 6006.53 7051.14 4047.88 4831.34 26637.6
4-7 38781.3 34341.6 31860.7 28596.3 21153.4 19847.7 18411.3 14494 14494 10968.5 9532.1 7181.72 6267.68 8748.64 6659.41 5484.22 3133.84 2611.53 2480.96 2089.23 16844.4
4-8 25462.4 23895.5 18933.6 19064.2 15669.2 12796.5 10707.3 10185 6789.99 8748.64 6137.1 6920.56 4178.45 3786.72 3003.26 3264.42 2872.69 1175.19 522.307 2480.96 10054.4
4-9 18672.5 17366.7 13318.8 10968.5 9140.37 7573.45 9009.79 6006.53 5484.22 4961.91 4178.45 3133.84 3656.15 2872.69 1958.65 2350.38 1697.5 783.46 914.037 2089.23 6528.83
4-10 13971.7 10054.4 10054.4 9009.79 8356.91 7312.29 3917.3 4439.61 3525.57 3917.3 2742.11 2742.11 2219.8 2742.11 1828.07 1436.34 1044.61 783.46 1566.92 1044.61 5875.95
5-1 694362 608452 542388 441463 402555 334402 283482 251101 203701 182287 152776 132798 122090 95582.8 85789.4 72339.9 65027.5 54058.9 46877.1 45963.1 249926
5-2 587432 502827 425273 374093 309595 268467 239219 208011 178630 147422 129794 111774 94146.4 78215.9 64113.5 63199.4 51969.7 49880.4 38389.6 35255.7 200568
5-3 544085 458697 396288 344585 302675 260634 217282 192080 159958 139326 114908 98586.1 90490.2 76257.2 68292 53667.2 47530 46616 37867.3 28465.7 190774
5-4 385843 336491 285441 251362 218457 189730 159566 136193 109424 97933.2 89576.2 72731.6 63852.3 49749.9 47138.3 44265.6 35647.4 33297 27421.1 24287.3 141546
5-5 239088 202135 174583 153821 125093 118956 100284 81219.2 67377.9 63068.8 53797.8 44265.6 41001.1 34994.5 31077.2 28204.5 23503.8 19847.7 13841.1 15146.9 81741.5
5-6 67900.2 60065.5 50011 44918.5 39695.4 30685.5 27029.4 25070.7 20892.3 17497.3 13971.7 12143.6 11099 7834.6 10446.1 6267.68 7834.6 5745.37 4831.34 3394.99 23503.8
5-7 40217.7 35647.4 31338.4 27421.1 24940.1 19455.9 17366.7 15277.5 13057.7 9532.1 9662.68 7051.14 7573.45 5745.37 5745.37 5092.49 4178.45 4309.03 3003.26 2742.11 16713.8
5-8 30424.3 24940.1 20761.7 20500.6 17497.3 12535.4 11099 9270.95 8879.22 6398.26 5484.22 5614.8 4700.76 4439.61 3264.42 2611.53 2350.38 1958.65 1566.92 1436.34 11621.3
